name,MV,MVerror,Mbol1,Mbol1error,Mbol2,Mbol2error,a,aerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error,L1,L1error,L2,L2error
TIC 26970485,1.805057272,1.102958592,2.592666518,0.900561919,2.464391783,0.900561919,4.984345775,1.407487513,2.332609284,1.446414375,2.259215587,1.158220335,1.814380806,0.512347747,2.589165087,0.731132569,8.898730687,5.562285058,10.01470031,6.259838603
TIC 271594955,3.124620263,1.28252837,3.384751822,1.047180029,4.377871226,1.047180029,4.071491007,1.352170474,4.78920126,3.36535005,0.755600543,0.470097213,2.017695061,0.670090559,1.317586534,0.437579649,4.608288929,3.264190586,1.846256082,1.307759087
TIC 340782794,3.546478599,1.339936018,3.797793475,1.094053178,4.791804973,1.094053178,3.592734421,1.252349919,1.655843348,1.091142988,1.389955983,1.011858153,1.730536986,0.603227959,1.057678051,0.368683812,3.228463334,2.368255762,1.292383067,0.948034197
TIC 167338355,4.979873815,1.534996401,5.700480059,1.253319313,4.974117155,1.253319313,3.209642136,1.308572132,2.232434394,1.809293517,1.727132195,1.366930913,0.969476345,0.395255818,1.54026306,0.627965745,0.611877298,0.498171092,1.194564217,0.972576304
TIC 78002882,2.97509511,1.262180574,3.046767067,1.030566123,5.106262015,1.030566123,3.714846303,1.212322955,4.074688114,2.826239018,0.254400118,0.155011046,2.104567254,0.686815816,0.9859575,0.321762682,6.237849904,4.361667951,0.93591615,0.654417073
TIC 388105497,5.776197117,1.643362276,6.38570699,1.34179968,6.342875905,1.34179968,1.510946718,0.670348011,0.448735342,0.383489886,0.194316471,0.169210861,0.5384759,0.238900713,0.656954251,0.291464928,0.343264286,0.293687015,0.357076323,0.305504195
TIC 141179506,3.557953356,1.341497535,3.90739997,1.095328151,4.636329564,1.095328151,3.188049622,1.112729185,1.200427054,0.79225718,0.881661041,0.642430416,1.677314216,0.585435204,0.913082545,0.318694411,2.92044069,2.144280165,1.492370147,1.095745487
TIC 231629787,5.39237148,1.591130223,5.57360335,1.299152387,7.425451607,1.299152387,0.819568164,0.349106211,0.121328406,0.101117859,0.006913415,0.005751728,0.440809472,0.187768792,0.206418367,0.087926712,0.706689418,0.590731496,0.12837761,0.107312626
TIC 293619461,4.594766601,1.482589947,4.921872282,1.210529622,5.920485535,1.210529622,1.496382981,0.585433129,0.477833706,0.376893157,0.048648565,0.036712457,0.836569009,0.327292691,0.488616761,0.191162586,1.222750562,0.969986896,0.487407907,0.386652272
TIC 320536498,3.135915143,1.284065409,3.547764186,1.048435016,4.285483732,1.048435016,3.147948781,1.046830592,2.01172724,1.415007014,0.442982567,0.276033165,1.418251185,0.471630522,1.063120038,0.35353389,3.968404728,2.813656579,2.01153753,1.426209319
