name,RA,DEC,Period,T1init,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r2,l2/l1,R2
TIC 182894226,282.200073,-45.48233,0.40848217,5409,5515.325844,116.9022359,82.5639141,0.195625111,3.562755759,0.019260392,0.114776072,0.010563675,0.925572219,0.001848127,0,0,0.282039048,0.499755441,2.334922405,0.996946937
TIC 193553960,245.6697586,43.01893796,0.413873378,5881.5,5919.143907,116.3002787,68.10375873,0.538716546,6.097873379,0.38084446,0.044388127,0.008192523,0.951578175,0.002805394,0,0,0.239002086,0.541885456,4.308375056,0.995228919
TIC 197933923,59.39157147,-54.35738239,0.49056889,6559.666504,6603.307579,128.4179379,80.18658137,0.300907985,0.429095615,0.011353994,0.692610649,0.012654925,0.988116907,0.001490218,0,0,0.504728314,0.361325135,0.480558464,0.999265099
TIC 231075361,67.717268,-66.831359,0.319890893,5373.5,5449.621419,118.511646,45.2599909,0.508609457,4.579093366,0.33977172,0.202837268,0.023317625,0.899797,0.011844241,0,0,0.26758125,0.525000023,2.540007544,0.992775836
TIC 286169068,227.5825213,53.72768286,0.414642671,7809.666504,7791.723553,135.0661546,69.43509393,0.570045672,0.359058007,0.035041973,0.233917248,0.02469881,0.990237165,0.004316019,0,0,0.4859913,0.309694433,0.393395479,0.99725396
TIC 320268279,7.46965392,56.96680762,0.45093949,6505.666504,6496.183147,128.5962869,81.64961786,0.735922972,0.434738875,0.018745783,0.47676719,0.037704409,1.020408767,0.003959289,0,0,0.48755655,0.344783718,0.523886609,0.998029456
TIC 343553606,341.502813,57.780505,0.805441627,5286.899902,5220.059967,115.6514929,89.60822542,0.412330121,0.366820536,0.002673658,0.51811291,0.015137036,1.012374807,0.001327413,0,0,0.502734579,0.331748521,0.445692845,0.99878479
TIC 406732815,188.2511842,26.71621178,0.23741006,5003.639648,5030.752121,128.7026405,75.26664759,0.349626885,2.556845426,0.148472933,0.080939274,0.008162295,0.958438524,0.001428298,0,0,0.306360019,0.469178441,1.953872049,0.996161848
TIC 41994216,23.65323411,-39.46977507,0.290503275,5314,5328.427632,144.4653725,51.8291028,0.419685755,4.398160717,0.460826366,0.261993935,0.029961902,0.867862976,0.005544976,0,0,0.27392087,0.524550891,2.032341664,0.99508466
TIC 166324888,206.8305204,-41.58411346,0.622715992,6763.5,6889.365715,74.0986945,63.50112222,0.512937186,10.07342752,0.356871237,0.347219472,0.019629958,0.841004153,0.003905662,0,0,0.217219815,0.590640398,4.281895062,0.995980452
