name,RA,DEC,Period,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r2,l2/l1,R2
TIC 345535359,69.59565437,10.44262008,0.424801516,6142,49,62.44965067,0.844062827,0.200518983,0.036339136,0.533300529,0.108698327,1.007550664,0.005095157,0,0,0.546910105,0.278477574,0.258862046,0.998749875
TIC 229538448,221.7552849,74.68188303,0.300590996,5432,12,84.9366,1.4616,0.4349,0.0089,0.3055,0.0851,0.9579,0.0024,0,0,0.4752,0.3316,0.4105,0.9921
TIC 11598102,20.38732383,-29.13131113,0.423319453,6270,130,77.72966144,0.100965255,0.267186857,0.001159114,0.195215203,0.007084314,1.007508385,0.000740574,0,0,0.50811254,0.282915857,0.315961175,0.999712755
TIC 219788401,264.5058499,63.23901207,0.274390828,4486,15,52.84221309,0.233840618,0.980199962,0.021810149,0.178249959,0.012491381,0.919085609,0.004418745,0,0,0.398748878,0.395252169,0.677806113,0.997875974
TIC 343553606,341.502813,57.780505,0.805441627,9243,247,89.2839,1.8898,0.3937,0.0038,0.7961,0.0212,0.9986,0.0025,0,0,0.518,0.3612,0.4711,0.9974
TIC 193578361,265.7957464,43.45262684,0.258154065,5136,36,78.2795,0.4292,0.3524,0.0145,0.1059,0.0163,1.0042,0.0026,0,0,0.4797,0.2996,0.3945,0.9932
TIC 345180632,177.3329427,-41.66612047,0.770485805,6692,21,48.95943561,0.675226956,0.085766271,0.011887179,0.69365839,0.129309232,1.077139179,0.009279203,0,0,0.610136411,0.219366876,0.156197778,0.996304025
TIC 250114673,356.103878,-5.777268139,0.328555212,6168,11,73.52316633,0.159994955,0.108825622,0.000550748,0.446973105,0.017051844,0.967189426,0.000713572,0,0,0.587099809,0.227218557,0.130671943,0.998664671
TIC 431481388,49.36037309,-75.76990327,0.365122193,5178,11,68.29336542,1.030447917,0.349577703,0.07032555,0.217401385,0.06434603,0.961511533,0.006037173,0,0,0.487175148,0.306316564,0.336996471,0.994044745
TIC 388179896,51.89797134,-72.84865466,0.310044948,5389,95,85.55777997,0.183831906,0.484171947,0.002022354,0.181927385,0.008582962,0.92083831,0.000954743,0,0,0.457687292,0.331697598,0.382815035,0.996893887
TIC 410392940,166.577361,-18.757759,0.362727244,5799,111,57.94656726,0.28629965,0.121371736,0.005134786,0.133538452,0.019575662,0.991872418,0.002771272,0,0,0.569189789,0.22256377,0.14794929,0.994460794
TIC 406732815,188.2511842,26.71621178,0.23741006,4824,73,79.7041,0.2657,0.3653,0.0043,0.1508,0.0117,0.9664,0.0009,0,0,0.4794,0.3055,0.3526,0.9965
TIC 438365313,97.16814676,16.49372138,0.494429582,7149,65,65.958789,0.485365304,0.263531866,0.023883514,0.224303739,0.029189547,0.99233917,0.002756953,0,0,0.510759585,0.283525171,0.298491871,0.997774082
TIC 23936839,276.0670947,35.24123663,0.275306208,5734,17,62.1309896,0.345003641,0.896966102,0.115652758,0.123219939,0.019230435,0.953238451,0.00550097,0,0,0.40082595,0.38176354,0.766205558,0.996949207
TIC 119364533,97.28658606,-38.19936062,0.64157186,6936,23,59.26877818,0.945624609,0.167092615,0.034939803,0.200508347,0.071399158,0.977165255,0.004635559,0,0,0.546411392,0.247508751,0.18967421,0.99836192
TIC 198109209,209.5997705,46.8505704,0.957274283,7322,15,50.5404984,1.076049331,0.074543523,0.016302452,0.684176301,0.211344937,0.858185497,0.013030181,0,0,0.618732349,0.209289307,0.069408708,0.997732767
TIC 67707714,225.1955812,35.13187321,0.317055336,5804,38,82.49161447,0.104051822,0.435807956,0.001508429,0.143566828,0.004489944,0.940325948,0.000563295,0,0,0.463920433,0.31978461,0.380784103,0.999590257
TIC 57297550,251.7231677,38.64951231,0.382002961,7185,14,85.08516076,1.699553072,0.080595503,0.000534857,0.965368432,0.008891456,1.060941841,0.002249668,0,0,0.621197077,0.224792622,0.147488666,0.996391238
TIC 111874795,208.3200298,-35.85302946,0.561163368,6562,31,56.29901491,0.454150196,0.133368945,0.018570143,0.768179828,0.112251437,1.04529359,0.003862172,0,0,0.584280402,0.256269777,0.212029196,0.999078796
TIC 199612934,249.4327672,55.79594687,0.601481872,6877,30,85.52282953,1.431650139,0.111888693,0.001573717,0.308812613,0.04066678,0.908764255,0.002562001,0,0,0.580839302,0.223879024,0.109449318,0.998674867
TIC 311235572,253.9881087,68.20008934,0.619216896,7230,33,80.29636283,0.155785097,0.283176589,0.002077694,0.751451572,0.017401522,1.00720018,0.001395715,0,0,0.535185398,0.323667347,0.359618962,0.998292363
TIC 146520491,76.57357669,-20.13133163,0.448419751,6330,7,75.96794216,0.113219938,0.152927794,0.000734123,0.331431141,0.012312552,0.971262711,0.001008788,0,0,0.558339776,0.247028886,0.175649752,0.999309894
TIC 365062319,20.67996012,8.880423651,0.429790676,5855,21,42.20409675,0.421481567,0.949902658,0.037735129,0.853441556,0.03980214,0.907941237,0.002583754,0,0,0.477785497,0.469437159,0.684048658,0.997747228
TIC 120607386,4.691119658,-39.67726181,0.41375033,6660,5,62.95689151,0.116721294,0.207560391,0.003725701,0.587576054,0.006968944,0.98851287,0.000796758,0,0,0.547052822,0.284444242,0.253089382,0.9997355
TIC 123036121,113.5241639,-46.17590239,0.490470904,6828,20,64.8573,1.4153,0.1223,0.007,0.1386,0.0403,0.9539,0.0021,0,0,0.5687,0.2233,0.1324,1
TIC 88465768,46.76261295,-26.04234581,0.526641608,6845,24,59.79239056,0.221586865,0.236979778,0.023010174,0.720571706,0.078144518,1.041396323,0.004172008,0,0,0.544883278,0.304402641,0.339245234,0.998840703
TIC 193553960,245.6697586,43.01893796,0.413873378,5906,11,69.92961201,0.732328187,0.198588377,0.014756973,0.035082123,0.005181663,0.968212829,0.00422509,0,0,0.525432299,0.251902394,0.206191283,0.996791713
TIC 141782808,117.6502172,-18.94059913,0.41753372,6547,5,55.23098371,0.078282837,0.220233898,0.002122843,0.865129546,0.012292081,1.007719357,0.000936805,0,0,0.557223587,0.30683813,0.297202998,0.999727109
TIC 293565743,149.4444044,-17.01294073,0.664609512,6578,31,74.9488657,0.13663175,0.114249646,0.000479823,0.247062266,0.013003527,0.884221478,0.001326289,0,0,0.577378203,0.222936053,0.098827323,0.999428474
TIC 169814134,297.6400819,40.23608457,0.707135529,6482,43,69.15562347,0.599647147,0.292278827,0.03178561,0.474153688,0.044884877,1.011466173,0.002550626,0,0,0.516486813,0.307739332,0.359316576,0.997928074
TIC 17563811,243.8341211,35.7072952,0.36092298,6212,7,86.35414498,0.623859577,0.120754905,0.000977378,0.528225847,0.020199431,0.999473394,0.00127677,0,0,0.582455112,0.237973596,0.161922859,0.998998363
TIC 231262738,334.030152,-51.01348407,0.302400796,5180,7,30.42065294,0.357031839,0.380444573,0.075739301,0.409516603,0.127183391,0.746468818,0.038307101,0,0,0.492753501,0.327157541,0.124138811,0.995906081
